Computer Name,Logged On Users,Domain,Category,File Types,Logical Drive,Count,Memory
IP-DK30,s.colombo,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK30,s.colombo,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB23,d.dozio,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK12,ip-remote-pc-hp,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK27,g.bianchi,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB09,s.manoli,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK21,as.aledi,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK24,s.donati,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK21,as.aledi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK24,s.donati,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB27,l.daliesio,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK15,flex,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB22,s.monichino,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK27,g.bianchi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK32,d.dadamo,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK32,d.dadamo,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK23,,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK31,,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK23,,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK31,,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK09,m.renda,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-DK09,m.renda,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK20,e.respizzi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
win10client1,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,0,0 MB
IP-NB26,p.avallone,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
